lsoa_code,borough,major_category,minor_category,value,year,month
E01001656,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2008,4
E01003518,Newham,Theft and Handling,Theft From Shops,0,2014,1
E01001547,Enfield,Theft and Handling,Handling Stolen Goods,0,2010,8
E01001979,Haringey,Theft and Handling,Handling Stolen Goods,0,2015,12
E01004232,Tower Hamlets,Robbery,Personal Property,0,2013,8
E01002782,Islington,Sexual Offences,Other Sexual,0,2010,9
E01000798,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,1,2010,1
E01002925,Kingston upon Thames,Other Notifiable Offences,Other Notifiable,0,2009,12
E01003174,Lambeth,Criminal Damage,Other Criminal Damage,1,2008,8
E01001100,Croydon,Violence Against the Person,Wounding/GBH,0,2016,6
E01002061,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2009,7
E01001458,Enfield,Drugs,Other Drugs,0,2014,6
E01000094,Barking and Dagenham,Theft and Handling,Other Theft,2,2014,2
E01032562,Bromley,Criminal Damage,Other Criminal Damage,0,2015,12
E01003206,Lewisham,Theft and Handling,Other Theft Person,0,2014,4
E01000019,Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,3
E01003524,Newham,Violence Against the Person,Common Assault,0,2009,10
E01004212,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0,2010,6
E01002768,Islington,Other Notifiable Offences,Other Notifiable,1,2011,4
E01004590,Wandsworth,Violence Against the Person,Assault with Injury,0,2014,9
E01000132,Barnet,Drugs,Possession Of Drugs,0,2012,7
E01002886,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,0,2010,7
E01000969,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,8
E01004063,Southwark,Theft and Handling,Handling Stolen Goods,0,2015,3
E01000812,Bromley,Drugs,Possession Of Drugs,1,2016,1
E01002553,Hillingdon,Burglary,Burglary in Other Buildings,0,2016,12
E01004586,Wandsworth,Burglary,Burglary in Other Buildings,0,2015,3
E01000011,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2015,4
E01000009,Barking and Dagenham,Theft and Handling,Handling Stolen Goods,0,2013,1
E01004616,Wandsworth,Criminal Damage,Other Criminal Damage,0,2009,3
E01000327,Bexley,Robbery,Personal Property,0,2008,9
E01003862,Richmond upon Thames,Violence Against the Person,Offensive Weapon,0,2014,11
E01004035,Southwark,Robbery,Business Property,0,2008,6
E01002458,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,2
E01002268,Havering,Violence Against the Person,Wounding/GBH,0,2009,9
E01001916,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,5
E01002400,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,4
E01002686,Hounslow,Violence Against the Person,Assault with Injury,2,2009,2
E01002485,Hillingdon,Violence Against the Person,Wounding/GBH,0,2016,1
E01002383,Havering,Burglary,Burglary in Other Buildings,0,2012,2
E01000371,Bexley,Burglary,Burglary in Other Buildings,0,2015,8
E01003974,Southwark,Theft and Handling,Other Theft,0,2013,8
E01003578,Newham,Theft and Handling,Other Theft Person,1,2009,9
E01004075,Southwark,Drugs,Drug Trafficking,0,2010,12
E01004292,Tower Hamlets,Criminal Damage,Criminal Damage To Dwelling,0,2013,1
E01001584,Greenwich,Theft and Handling,Other Theft Person,0,2016,4
E01004562,Wandsworth,Criminal Damage,Other Criminal Damage,0,2008,3
E01003541,Newham,Drugs,Drug Trafficking,0,2008,1
E01004263,Tower Hamlets,Violence Against the Person,Harassment,1,2016,10
E01000127,Barnet,Robbery,Business Property,0,2010,10
E01002753,Islington,Theft and Handling,Other Theft Person,1,2008,8
E01001393,Enfield,Robbery,Business Property,0,2011,2
E01000006,Barking and Dagenham,Violence Against the Person,Offensive Weapon,0,2009,6
E01002234,Harrow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,7
E01001856,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,0,2016,8
E01004350,Waltham Forest,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,1
E01001972,Haringey,Criminal Damage,Other Criminal Damage,0,2010,1
E01004559,Wandsworth,Burglary,Burglary in a Dwelling,1,2011,3
E01000814,Bromley,Theft and Handling,Other Theft,2,2013,5
E01000789,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,3,2008,1
E01000018,Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,6
E01003494,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,7
E01004068,Southwark,Drugs,Drug Trafficking,0,2010,5
E01003179,Lambeth,Violence Against the Person,Murder,0,2013,7
E01003524,Newham,Theft and Handling,Other Theft,1,2008,6
E01003555,Newham,Burglary,Burglary in a Dwelling,0,2008,9
E01002421,Hillingdon,Violence Against the Person,Offensive Weapon,0,2013,7
E01000970,Camden,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,4
E01002583,Hounslow,Violence Against the Person,Other violence,0,2011,5
E01000955,Camden,Theft and Handling,Theft From Motor Vehicle,1,2011,7
E01002408,Hillingdon,Theft and Handling,Theft From Shops,0,2013,12
E01001450,Enfield,Fraud or Forgery,Other Fraud & Forgery,0,2010,12
E01002552,Hillingdon,Violence Against the Person,Offensive Weapon,0,2008,10
E01003084,Lambeth,Drugs,Possession Of Drugs,0,2014,5
E01001109,Croydon,Violence Against the Person,Assault with Injury,0,2013,6
E01002026,Haringey,Violence Against the Person,Harassment,4,2013,5
E01003749,Redbridge,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,3
E01001408,Enfield,Violence Against the Person,Common Assault,0,2011,8
E01000281,Barnet,Violence Against the Person,Wounding/GBH,0,2010,5
E01000740,Bromley,Robbery,Personal Property,3,2008,10
E01002424,Hillingdon,Violence Against the Person,Wounding/GBH,1,2015,6
E01003448,Merton,Theft and Handling,Other Theft Person,0,2014,5
E01004010,Southwark,Violence Against the Person,Offensive Weapon,0,2016,8
E01002703,Islington,Theft and Handling,Handling Stolen Goods,0,2016,11
E01002576,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,8
E01000722,Bromley,Theft and Handling,Other Theft Person,0,2010,2
E01002226,Harrow,Burglary,Burglary in a Dwelling,3,2008,12
E01001786,Hackney,Violence Against the Person,Harassment,2,2008,10
E01000656,Bromley,Robbery,Personal Property,0,2015,3
